English,Dutch,No._participants,Mode_of_rep,Semantical_category,pp01,pp02,pp03,pp04,pp05,pp06,pp07,pp08,pp09,pp10,pp11,pp12,pp13,pp14,pp15,pp16,pp17,pp18,MEAN,x,y
TO-FLY,VLIEGEN,20,personification,Action without object,2,1,4,6,6,4,7,7,5,6,7,5,5,6,2,5,5,6,4.94,0.05831151099056072,-0.013785944242304629
TO-SWIM,ZWEMMEN,19,acting,Action without object,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6.89,-0.029155060212909253,-0.021590384374897683
HOUSE,HUIS,17,drawing,Non-manipulable object,5,2,3,6,5,6,6,5,6,7,6,4,6,5,3,3,3,3,4.67,0.03976145640065669,-0.01149893784989266
TO-WRING,WRINGEN,20,acting,Action with object,6,5,3,7,4,5,7,6,7,7,7,7,6,5,5,4,6,5,5.67,0.020639961060361613,0.02216070968406069
TO-SHOUT,SCHREEUWEN,11,acting,Action without object,7,6,4,6,7,6,6,7,7,7,7,6,7,7,5,7,6,5,6.28,0.015547654439105508,0.036317405157116824
PENGUIN,PINGU?N,16,personification,Animate ,5,1,5,6,7,3,5,4,7,5,5,5,6,2,1,5,4,3,4.39,0.026094453835058734,0.054101134352419034
APPLE,APPEL,18,acting,Manipulable object,5,4,4,4,7,5,5,2,5,5,6,3,6,4,2,6,1,1,4.17,-0.03694675489122978,-0.0135675277175814
TO-HAMMER,HAMEREN,20,acting,Action with object,6,4,2,5,5,4,4,4,6,2,7,2,3,3,4,2,3,2,3.78,0.019089243493363526,0.01047392714294882
ZIMMER FRAME,ROLLATOR,20,acting,Manipulable object,1,2,1,2,3,1,1,1,4,2,4,3,3,2,1,2,1,1,1.94,0.015484383135610947,-0.039365952994023054
SCREWDRIVER,SCHROEVENDRAAIER,20,acting,Manipulable object,5,2,1,3,5,2,2,1,4,4,5,4,3,4,2,1,1,2,2.83,0.012792616577928734,0.03240745096119443
ICE-CREAM,IJSJE,17,acting,Manipulable object,6,7,6,7,6,6,6,7,6,4,6,6,7,5,6,6,7,4,6.0,0.02741094887663591,0.02201516258328917
WINDSCREEN WIPER,RUITENWISSER,17,representing,Manipulable object,4,6,3,5,7,4,5,5,4,5,6,4,6,4,5,5,5,3,4.78,0.026521524814040222,0.019103655716329958
TO-SMOKE,ROKEN,20,acting,Action with object,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0,-0.02746383891483195,0.008912238390417179
TO-JOG,JOGGEN,20,acting,Action without object,6,7,6,6,7,5,6,6,4,4,7,5,7,5,4,6,5,4,5.56,0.06712325788455681,-0.026567470902663693
UMBRELLA,PARAPLU,20,acting,Manipulable object,5,3,3,3,5,3,2,2,2,5,4,6,3,5,1,3,2,2,3.28,0.030213133856874165,-0.033914059404983474
STAIRS,TRAP,10,representing,Non-manipulable object,6,4,4,5,7,4,3,3,3,6,5,6,6,1,6,7,6,5,4.83,0.0042051379648328805,0.013702058859079862
SUITCASE,KOFFER,18,acting,Manipulable object,5,5,4,2,3,4,1,1,2,1,5,4,2,3,3,3,1,1,2.78,-0.02920407806377357,0.018102838716998828
BALL,BAL,16,drawing,Manipulable object,5,3,2,3,3,2,1,3,3,2,4,5,7,4,4,5,2,4,3.44,0.02242729616272353,-0.0006769523816218864
TO-DRINK,DRINKEN,19,acting,Action with object,7,7,5,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,6.78,0.03133402349570661,0.029790312398433966
SPOON,LEPEL,18,acting,Manipulable object,6,4,4,5,3,6,4,4,5,6,4,3,5,5,2,3,7,2,4.33,0.06151415327873661,0.04456710512094097
LOBSTER,KREEFT,10,personification,Animate ,5,2,2,2,4,6,2,2,3,5,4,3,5,6,1,2,1,2,3.17,0.045768307507605216,-0.023940057657058016
TO-TAKE-PHOTO,FOTOGRAFEREN,19,acting,Action with object,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6.94,-0.029027385105699924,0.034128158514330535
BED,BED,15,acting,Non-manipulable object,6,5,3,4,2,3,1,3,2,4,5,2,6,4,4,3,2,1,3.33,-0.001379495719594952,0.05948550425182394
PISTOL,PISTOOL,17,representing,Manipulable object,6,6,6,6,7,6,6,6,7,7,5,6,7,6,5,7,6,6,6.17,0.02854074514051845,-0.036388649004644884
TO-LISTEN,LUISTEREN,15,acting,Action without object,7,6,4,6,7,6,7,7,7,7,5,5,7,7,7,7,6,6,6.33,-0.03176585470363975,-0.03197349849904373
TO-ERASE,UITGUMMEN,18,acting,Action with object,2,4,3,2,7,3,1,2,4,2,6,4,5,2,2,4,2,1,3.11,0.02077756754485844,0.01972124328879439
BRIDGE,BRUG,13,drawing,Non-manipulable object,3,1,1,1,1,2,1,4,3,2,4,3,4,4,1,2,2,3,2.33,-0.022229732709336317,0.004196559287807004
TO-COMB,KAMMEN,17,acting,Action with object,6,2,4,4,7,5,4,7,4,5,6,7,6,5,6,6,6,5,5.28,-0.02121918515336723,-0.0012122340792912634
TO-INJECT,INJECTEREN,16,acting,Action with object,7,5,5,5,7,5,4,7,5,7,6,5,7,4,7,6,5,6,5.72,0.01186734840850462,0.009512897648189297
TO-JUGGLE,JONGLEREN,20,acting,Action with object,6,4,6,6,7,7,6,7,6,5,7,7,7,5,6,5,7,7,6.17,-0.028531028440743032,-0.0029839280411671585
CAR,AUTO,17,acting,Non-manipulable object,7,4,4,6,4,6,3,5,5,5,5,5,6,6,3,7,7,3,5.06,0.011271198414727696,-0.01660599441764573
TO-IRON,STRIJKEN,19,acting,Action with object,6,3,4,1,4,1,5,2,2,2,6,3,3,3,2,2,4,4,3.17,-0.011942081677851227,-0.06880553512666558
CALCULATOR,REKENMACHINE,14,acting,Manipulable object,4,3,3,1,4,4,2,2,3,4,6,4,5,2,1,3,5,2,3.22,0.017992202670558618,-0.029785955577119494
PRAM,BUGGY,12,acting,Manipulable object,2,1,2,1,2,1,1,1,3,2,5,1,2,1,1,3,1,2,1.78,-0.020283459098864837,-0.0255419505711696
TO-GO-UP,OMHOOG LOPEN,10,representing,Action without object,4,2,4,6,5,4,5,3,6,6,5,3,5,1,7,7,6,6,4.72,-0.02428189969675008,0.059893062235418064
GUITAR,GITAAR,20,acting,Manipulable object,7,7,7,7,7,6,7,7,6,6,6,7,7,6,7,7,7,7,6.72,-0.000150085606831037,0.015008986758797756
TELEPHONE,TELEFOON,16,representing,Manipulable object,7,7,6,6,7,6,6,6,7,7,5,7,7,7,7,7,6,7,6.56,-0.03963481309975576,0.008033609505580111
ACCORDION,ACCORDEON,20,acting,Manipulable object,5,5,5,2,7,1,4,5,6,5,5,6,6,5,3,6,3,5,4.67,0.052327610444101676,-0.05125115297902299
RACKET,TENNISRACKET,12,acting,Manipulable object,4,3,1,3,3,2,2,5,3,2,6,5,4,4,6,5,5,4,3.72,0.006780926709461772,0.016704570436797718
SALT,ZOUT,10,acting,Non-manipulable object,5,2,2,2,1,5,3,6,3,2,4,4,5,3,2,3,2,1,3.06,0.03356231546048675,0.01597322075671719
TO-CLAP,KLAPPEN,20,acting,Action without object,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.0,-0.017500641578981523,-0.038271634533409385
BUTTERFLY,VLINDER,11,representing,Animate ,1,3,3,3,1,3,3,2,2,2,4,6,5,5,5,2,3,2,3.06,-0.017428843432237464,-0.015588053548368981
